RANK,TEAM,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,두산,0.3,81,3253,2866,483,860,149,13,75,1260,463,18,45
2,KT,0.29,78,3088,2737,444,795,134,12,94,1235,414,27,23
3,NC,0.289,77,3121,2742,483,793,142,15,106,1283,466,25,25
4,LG,0.285,82,3211,2850,471,812,145,17,85,1246,452,26,29
5,롯데,0.277,76,2990,2638,388,730,142,2,64,1068,366,23,24
6,키움,0.276,84,3345,2877,474,793,144,17,89,1238,445,27,36
7,삼성,0.272,81,3115,2740,405,746,139,5,74,1117,384,28,30
8,KIA,0.269,78,2994,2629,382,706,122,5,76,1066,366,33,16
9,SK,0.244,81,3054,2704,322,659,88,11,73,988,304,25,18
10,한화,0.236,80,3002,2661,284,629,106,3,43,870,267,23,15
